item_id,price_id,price
1,1,6.9900000000000002
1,2,9.9900000000000002
1,3,11.99
2,1,6.9900000000000002
2,2,9.9900000000000002
2,3,11.99
3,1,10.99
3,2,14.99
3,3,19.989999999999998
4,1,8.9900000000000002
4,2,12.99
4,3,18.989999999999998
5,1,8.9900000000000002
5,2,12.99
5,3,17.989999999999998
6,1,8.4900000000000002
7,1,6.4900000000000002
8,1,0.98999999999999999
9,1,7.9900000000000002
10,1,1.99
11,1,1.99
12,1,1.99
13,1,7.4900000000000002
14,1,7.4900000000000002
15,1,7.4900000000000002
16,1,7.4900000000000002
17,1,7.4900000000000002
18,1,7.4900000000000002
19,1,7.4900000000000002
20,1,7.4900000000000002
21,1,7.4900000000000002
22,1,7.4900000000000002
23,1,7.4900000000000002
24,1,7.9900000000000002
25,1,1.24
26,1,1.5
27,1,1.49
28,1,1.49
29,1,1.49
30,1,7.8899999999999997
31,1,2.5699999999999998
